iter	Logloss
0	0.6162124059
1	0.5754095485
2	0.5383313784
3	0.5069101688
4	0.4826008591
5	0.4596684951
6	0.4468433487
7	0.437777888
8	0.4308802325
9	0.422551941
10	0.4165450844
11	0.4087320801
12	0.4054710948
13	0.3916798205
14	0.3876580669
15	0.3832537504
16	0.3802719336
17	0.3746932688
18	0.3711035769
19	0.3678373871
20	0.3652722502
21	0.3628871054
22	0.361614228
23	0.3574441393
24	0.3555195433
25	0.3481082661
26	0.3463294069
27	0.3449134501
28	0.3435171205
29	0.3405168409
30	0.3393095781
31	0.3363907201
32	0.3335198619
33	0.3309603058
34	0.3304279077
35	0.328773439
36	0.3277898444
37	0.325979682
38	0.3248146601
39	0.3235178696
40	0.3230309704
41	0.3225565952
42	0.3214012995
43	0.3204086843
44	0.3191975125
45	0.3184331114
46	0.3172025728
47	0.3167403879
48	0.3162655012
49	0.3157154669
50	0.3147857357
51	0.3134200518
52	0.312137508
53	0.3112634102
54	0.3108435549
55	0.3103417414
56	0.309624776
57	0.309199028
58	0.3087670841
59	0.3074357441
60	0.3061381288
61	0.3055162333
62	0.3051532056
63	0.3045744081
64	0.303614443
65	0.3029791215
66	0.302377028
67	0.3020690359
68	0.3017867623
69	0.3013729185
70	0.301010213
71	0.300750606
72	0.3006033007
73	0.3001888279
74	0.3000230663
75	0.2999515221
76	0.2995203288
77	0.2992130908
78	0.2988267113
79	0.2985059762
80	0.2981893801
81	0.2981034396
82	0.2979070651
83	0.2977286058
84	0.2970951696
85	0.2965679805
86	0.2962141016
87	0.2958573609
88	0.2953715705
89	0.2948676137
90	0.2947940228
91	0.2946800342
92	0.2942324194
93	0.2939637912
94	0.2937512872
95	0.2934690906
96	0.2934173152
97	0.2932455061
98	0.2931388346
99	0.2924830454
100	0.2924375289
101	0.2923047373
102	0.292232924
103	0.2919935202
104	0.29180211
105	0.2914923011
106	0.2909576072
107	0.2907663428
108	0.2899299037
109	0.2898891132
110	0.289530099
111	0.2894251317
112	0.2889652843
113	0.2888245069
114	0.2886095495
115	0.2883028644
116	0.2881920713
117	0.2878154313
118	0.2877562012
119	0.2875341963
120	0.2873832142
121	0.2868653353
122	0.2867651264
123	0.2865018328
124	0.2862567405
125	0.2857424897
126	0.2855956134
127	0.2854164282
128	0.2850809487
129	0.2847921263
130	0.2845506068
131	0.2841540411
132	0.2837803194
133	0.2837040218
134	0.2833690362
135	0.2830884136
136	0.2828958015
137	0.2826454328
138	0.2824638407
139	0.2824024187
140	0.2821915735
141	0.2820047639
142	0.2819037056
143	0.2817469847
144	0.2814934608
145	0.2813378183
146	0.2812980534
147	0.2811793141
148	0.2808860843
149	0.2808226261
150	0.2805964555
151	0.2803009625
152	0.2800624323
153	0.2799264171
154	0.2796579179
155	0.2795074024
156	0.2791817229
157	0.2789452962
158	0.2786459263
159	0.2784885898
160	0.2782231393
161	0.2780526594
162	0.2778165447
163	0.2777369353
164	0.2776359204
165	0.2774277972
166	0.277262118
167	0.2769489343
168	0.2767337975
169	0.2766625327
170	0.2766234781
171	0.27650339
172	0.276365071
173	0.2761880073
174	0.2760517129
175	0.2759362237
